l_cw l_dh l_ibh l_se e_kd Qp Tp Bw Bd Tc Bwbc Bwac Bdbc Bdac  
1.58 1.224 0.33 0.775 23.4 2.61 2700 8.925 1.224 828 1.088 1.134 0.689 1.224 0.162739029106552 0.18720796207012
1.58 1.224 0.33 0.775 24.2 2.6 2772 8.925 1.224 828 1.1 1.149 0.68 1.224 0.161949894312041 0.188726054175074
1.72 1.224 0.33 0.775 25 2.6 2772 9.065 1.224 828 1.116 1.167 0.689 1.224 0.161808555511155 0.189821990284634
1.58 1.224 0.33 0.8438 25 2.59 2736 8.925 1.224 828 1.259 1.308 0.832 1.224 0.158748188887639 0.191478580390999
1.79 1.224 0.33 0.775 25 2.6 2772 9.135 1.224 828 1.106 1.158 0.686 1.224 0.164038737438708 0.192128838120835
1.58 1.176 0.346 0.775 24.2 2.6 2700 8.635 1.176 864 1.213 1.259 0.829 1.176 0.162366869909504 0.192246473324736
1.65 1.224 0.346 0.8438 25 2.59 2700 8.995 1.224 864 1.28 1.329 0.841 1.224 0.160803063940961 0.19334511404457
1.58 1.224 0.33 0.8782 23.4 2.6 2772 8.925 1.224 864 1.286 1.332 0.82 1.224 0.160391421698842 0.193852460953632
1.65 1.224 0.33 0.775 23.4 2.61 2772 8.995 1.224 828 1.079 1.125 0.686 1.224 0.167854677614699 0.194556209478971
1.58 1.224 0.346 0.8438 25 2.6 2772 8.925 1.224 828 1.25 1.295 0.841 1.224 0.160655230806261 0.19496182375613
1.79 1.224 0.346 0.775 25 2.6 2772 9.135 1.224 828 1.1 1.149 0.695 1.224 0.166958328707475 0.195070265716464
1.58 1.224 0.346 0.8094 25 2.6 2772 8.925 1.224 864 1.253 1.301 0.832 1.224 0.161238375266484 0.195170197747804
1.58 1.224 0.33 0.775 25 2.6 2772 8.925 1.224 900 1.28 1.326 0.808 1.224 0.162267919981578 0.195386906699144
1.58 1.224 0.346 0.8782 25 2.59 2772 8.925 1.224 828 1.277 1.326 0.841 1.224 0.161337424160924 0.195682027217396
1.65 1.224 0.362 0.8782 25 2.59 2736 8.995 1.224 828 1.265 1.314 0.85 1.224 0.161974716477649 0.195961259283666
1.79 1.224 0.33 0.775 24.2 2.6 2772 9.135 1.224 828 1.094 1.143 0.695 1.224 0.168147783136195 0.19611193238313
1.58 1.224 0.346 0.8782 24.2 2.6 2772 8.925 1.224 828 1.259 1.305 0.847 1.224 0.161502694867846 0.196141525486549
1.72 1.224 0.346 0.8094 24.2 2.6 2736 9.065 1.224 864 1.228 1.277 0.835 1.224 0.16260714687478 0.196168162896176
1.72 1.224 0.362 0.8438 25 2.59 2700 9.065 1.224 864 1.265 1.314 0.85 1.224 0.162895704207526 0.196188448674942
1.72 1.224 0.362 0.8094 25 2.6 2736 9.065 1.224 864 1.234 1.283 0.838 1.224 0.162463456507428 0.196193777650274
1.58 1.224 0.346 0.8094 24.2 2.6 2772 8.925 1.224 864 1.234 1.283 0.838 1.224 0.162186519288121 0.196349899478223
1.58 1.224 0.346 0.8438 22.6 2.6 2736 8.925 1.224 864 1.222 1.265 0.841 1.224 0.163266573811163 0.196415578334885
1.65 1.224 0.33 0.8782 23.4 2.6 2772 8.995 1.224 828 1.244 1.289 0.844 1.224 0.161937559713214 0.196712262211639
1.58 1.224 0.362 0.8094 25 2.6 2772 8.925 1.224 864 1.244 1.292 0.841 1.224 0.162463498219675 0.196809542010099
1.58 1.224 0.33 0.775 22.6 2.61 2772 8.925 1.224 828 1.07 1.113 0.695 1.224 0.170557086422174 0.196814480039856
1.79 1.176 0.346 0.775 25 2.6 2772 8.845 1.176 864 1.228 1.277 0.823 1.176 0.164210864145173 0.197029170048976
1.79 1.224 0.346 0.8438 23.4 2.6 2700 9.135 1.224 864 1.231 1.277 0.85 1.224 0.163697338655811 0.197279874470642
1.58 1.224 0.362 0.8782 25 2.59 2772 8.925 1.224 828 1.265 1.314 0.85 1.224 0.162559110014378 0.197321371479691
1.86 1.224 0.33 0.775 24.2 2.61 2772 9.205 1.224 828 1.088 1.137 0.692 1.224 0.169284636937428 0.197438160091399
1.65 1.224 0.346 0.8782 24.2 2.6 2772 8.995 1.224 828 1.253 1.301 0.847 1.224 0.162560447939044 0.197519126965738
1.93 1.224 0.346 0.8782 25 2.59 2700 9.275 1.224 828 1.268 1.314 0.85 1.224 0.163645803200474 0.197952701525205
1.65 1.224 0.362 0.8094 25 2.6 2772 8.995 1.224 864 1.241 1.289 0.841 1.224 0.16334153671167 0.198013532378176
1.79 1.224 0.362 0.8438 24.2 2.6 2700 9.135 1.224 864 1.241 1.289 0.856 1.224 0.16409772896488 0.198025548423283
1.65 1.224 0.346 0.8094 24.2 2.6 2772 8.995 1.224 864 1.228 1.277 0.838 1.224 0.163596755807476 0.198074723179633
1.58 1.224 0.346 0.8438 23.4 2.6 2808 8.925 1.224 864 1.241 1.289 0.835 1.224 0.16311164004245 0.198280748399338
1.79 1.224 0.362 0.775 25 2.6 2700 9.135 1.224 900 1.247 1.295 0.832 1.224 0.165453825622518 0.198415868485734
1.65 1.224 0.378 0.8094 24.2 2.6 2700 8.995 1.224 864 1.207 1.253 0.847 1.224 0.165884208540656 0.198492112313723
1.58 1.224 0.362 0.8782 22.6 2.6 2772 8.925 1.224 864 1.234 1.283 0.85 1.224 0.163766324732819 0.198535691827949
1.58 1.224 0.362 0.8438 25 2.6 2772 8.925 1.224 828 1.228 1.277 0.856 1.224 0.16355871096395 0.198562119748845
