%eval_id interface cc             ch             cw             se             ph             mn             pd             po             fa             co             kd             tu             Qp             Tp             Bw             Bd             Tc             Bwbc           Bwac           Bdbc           Bdac           
30       bat        0.08           1.2            2.18           1.003          1.1            0.016          0.0001         0.33           0.577          4000           23             0              0.78547        0.10688        2.1542         1.3            0.10688        0.3604         0.7848         0.3604         1.3            
31       bat        0.06           1.4            2.18           1.003          1.1            0.016          0.0001         0.33           0.577          4000           23             0              0.77743        0.23465        2.2143         1.3            0.14299        0.376          0.8867         0.376          1.1662         
32       bat        0.08           1.4            2.18           1.003          1.1            0.016          0.0001         0.33           0.577          4000           23             0              0.77743        0.23465        2.2143         1.3            0.14299        0.376          0.8867         0.376          1.1662         
33       bat        0.06           1.2            1.78           0.821          0.9            0.033          0.0001         0.33           0.577          4000           23             0              0.97028        0.2791         3.9155         1.3            0.18049        0.3805         0.6417         0.3805         1.1691         
34       bat        0.08           1.2            1.78           0.821          0.9            0.033          0.0001         0.33           0.577          4000           23             0              0.97028        0.2791         3.9155         1.3            0.18049        0.3805         0.6417         0.3805         1.1691         
35       bat        0.06           1.4            1.78           0.821          0.9            0.033          0.0001         0.33           0.577          4000           23             0              0.84735        0.51243        4.0133         1.3            0.31799        0.3875         0.652          0.3875         0.9723         
36       bat        0.08           1.4            1.78           0.821          0.9            0.033          0.0001         0.33           0.577          4000           23             0              0.84735        0.51243        4.0133         1.3            0.31799        0.3875         0.652          0.3875         0.9723         
37       bat        0.06           1.2            2.18           0.821          0.9            0.033          0.0001         0.33           0.577          4000           23             0              0.955          0.28604        3.8871         1.3            0.18604        0.3828         0.6428         0.3828         1.1694         
38       bat        0.08           1.2            2.18           0.821          0.9            0.033          0.0001         0.33           0.577          4000           23             0              0.955          0.28604        3.8871         1.3            0.18604        0.3828         0.6428         0.3828         1.1694         
39       bat        0.06           1.4            2.18           0.821          0.9            0.033          0.0001         0.33           0.577          4000           23             0              0.82627        0.52771        3.9835         1.3            0.32632        0.388          0.652          0.388          0.9723         
40       bat        0.08           1.4            2.18           0.821          0.9            0.033          0.0001         0.33           0.577          4000           23             0              0.82627        0.52771        3.9835         1.3            0.32632        0.388          0.652          0.388          0.9723         
41       bat        0.06           1.2            1.78           1.003          0.9            0.033          0.0001         0.33           0.577          4000           23             0              1.55431        0.20687        4.1636         1.3            0.12632        0.3648         0.6193         0.3648         1.162          
42       bat        0.08           1.2            1.78           1.003          0.9            0.033          0.0001         0.33           0.577          4000           23             0              1.55431        0.20687        4.1636         1.3            0.12632        0.3648         0.6193         0.3648         1.162          
43       bat        0.06           1.4            1.78           1.003          0.9            0.033          0.0001         0.33           0.577          4000           23             0              1.36251        0.32076        4.2561         1.3            0.18882        0.3826         0.6437         0.3826         0.9697         
44       bat        0.08           1.4            1.78           1.003          0.9            0.033          0.0001         0.33           0.577          4000           23             0              1.36251        0.32076        4.2561         1.3            0.18882        0.3826         0.6437         0.3826         0.9697         
45       bat        0.06           1.2            2.18           1.003          0.9            0.033          0.0001         0.33           0.577          4000           23             0              1.53172        0.21104        4.1354         1.3            0.13049        0.3679         0.6222         0.3679         1.163          
46       bat        0.08           1.2            2.18           1.003          0.9            0.033          0.0001         0.33           0.577          4000           23             0              1.53172        0.21104        4.1354         1.3            0.13049        0.3679         0.6222         0.3679         1.163          
47       bat        0.06           1.4            2.18           1.003          0.9            0.033          0.0001         0.33           0.577          4000           23             0              1.3394         0.33049        4.2263         1.3            0.19299        0.3818         0.6446         0.3818         0.97           
48       bat        0.08           1.4            2.18           1.003          0.9            0.033          0.0001         0.33           0.577          4000           23             0              1.3394         0.33049        4.2263         1.3            0.19299        0.3818         0.6446         0.3818         0.97           
49       bat        0.06           1.2            1.78           0.821          1.1            0.033          0.0001         0.33           0.577          4000           23             0              1.04318        0.21243        3.9528         1.3            0.13604        0.3724         0.7965         0.3724         1.3            
50       bat        0.08           1.2            1.78           0.821          1.1            0.033          0.0001         0.33           0.577          4000           23             0              1.04318        0.21243        3.9528         1.3            0.13604        0.3724         0.7965         0.3724         1.3            
51       bat        0.06           1.4            1.78           0.821          1.1            0.033          0.0001         0.33           0.577          4000           23             0              0.85954        0.27354        4.0127         1.3            0.19576        0.384          0.9004         0.384          1.1703         
52       bat        0.08           1.4            1.78           0.821          1.1            0.033          0.0001         0.33           0.577          4000           23             0              0.85954        0.27354        4.0127         1.3            0.19576        0.384          0.9004         0.384          1.1703         
