 
    Time(hr),     Qbreach,    Qspill,    zs_upstr, zs_downstr, zb_breach, B_bottom,    B_top,  Areabreach, Brchsideslope, Vol_watout, USSedRate, DSSedRate 
     0.06660    774.36450      0.00000    13.4736     0.3499     1.0808     2.1063    30.9188   105.9450     1.1328      96342.250    0.00000   33.80259
     0.06799    797.26239      0.00000    13.4725     0.3560     1.0029     2.2485    31.2494   108.5103     1.1308     100277.203    0.00000   32.98553
     0.06938    819.74255      0.00000    13.4714     0.3620     0.9275     2.3861    31.5697   111.0180     1.1289     104325.531    0.00000   32.08968
     0.07076    841.73505      0.00000    13.4703     0.3678     0.8545     2.5189    31.8793   113.4597     1.1271     108484.938    0.00000   31.11706
     0.07215    863.17029      0.00000    13.4691     0.3734     0.7843     2.6466    32.1775   115.8288     1.1253     112752.805    0.00000   30.07293
     0.07354    883.98328      0.00000    13.4679     0.3788     0.7169     2.7691    32.4638   118.1211     1.1236     117126.172    0.00000   28.96091
     0.07493    904.11053      0.00000    13.4667     0.3839     0.6523     2.8862    32.7378   120.3304     1.1221     121601.727    0.00000   27.78743
     0.07632    923.49237      0.00000    13.4654     0.3889     0.5908     2.9977    32.9990   122.4490     1.1206     126175.891    0.00000   26.55803
     0.07771    942.07391      0.00000    13.4641     0.3935     0.5323     3.1035    33.2471   124.4752     1.1192     130844.805    0.00000   25.27884
     0.07910    959.80554      0.00000    13.4628     0.3980     0.4770     3.2035    33.4818   126.4019     1.1178     135604.312    0.00000   23.95652
     0.08049    976.64325      0.00000    13.4615     0.4021     0.4249     3.2977    33.7029   128.2261     1.1166     140450.031    0.00000   22.59919
     0.08187    992.61987      0.00000    13.4601     0.4061     0.3757     3.3865    33.9117   129.9521     1.1154     145377.453    0.00000   21.86130
     0.08326   1008.58630      0.00000    13.4587     0.4100     0.3266     3.4750    34.1197   131.6738     1.1143     150384.344    0.00000   22.09283
     0.08465   1024.79333      0.00000    13.4573     0.4139     0.2772     3.5640    34.3292   133.4151     1.1131     155471.734    0.00000   22.32765
     0.08604   1041.24438      0.00000    13.4559     0.4179     0.2274     3.6537    34.5403   135.1784     1.1120     160640.844    0.00000   22.56517
     0.08743   1057.94360      0.00000    13.4544     0.4219     0.1772     3.7439    34.7529   136.9641     1.1108     165892.875    0.00000   22.80546
     0.08882   1074.89551      0.00000    13.4530     0.4259     0.1267     3.8347    34.9672   138.7722     1.1097     171229.109    0.00000   23.04859
     0.09021   1092.10352      0.00000    13.4515     0.4300     0.0757     3.9262    35.1830   140.6032     1.1085     176650.797    0.00000   23.29458
     0.09160   1109.57202      0.00000    13.4500     0.4341     0.0244     4.0182    35.4005   142.4572     1.1074     182159.250    0.00000   23.54351
     0.09299   1119.87500      0.00000    13.4484     0.4366     0.0000     4.0645    35.5097   109.0827     1.1067     187746.234    0.00000   56.31317
     0.09437   1119.59241      0.00000    13.4469     0.4365     0.0000     4.0645    35.5097   109.0619     1.1067     193344.828    0.00000   56.30218
     0.09576   1119.31006      0.00000    13.4453     0.4364     0.0000     4.0645    35.5097   109.0410     1.1067     198942.016    0.00000   56.29123
     0.09715   1119.02759      0.00000    13.4438     0.4364     0.0000     4.0645    35.5097   109.0201     1.1067     204537.781    0.00000   56.28026
     0.09854   1118.74536      0.00000    13.4422     0.4363     0.0000     4.0645    35.5097   108.9992     1.1067     210132.141    0.00000   56.26930
     0.09993   1118.46301      0.00000    13.4407     0.4362     0.0000     4.0645    35.5097   108.9784     1.1067     215725.094    0.00000   56.25833
     0.10132   1118.18079      0.00000    13.4391     0.4362     0.0000     4.0645    35.5097   108.9575     1.1067     221316.625    0.00000   56.24741
     0.10271   1117.89856      0.00000    13.4376     0.4361     0.0000     4.0645    35.5097   108.9366     1.1067     226906.750    0.00000   56.23643
     0.10410   1117.61646      0.00000    13.4361     0.4360     0.0000     4.0645    35.5097   108.9158     1.1067     232495.469    0.00000   56.22547
     0.10549   1117.33423      0.00000    13.4345     0.4360     0.0000     4.0645    35.5097   108.8949     1.1067     238082.781    0.00000   56.21452
     0.10688   1117.05225      0.00000    13.4330     0.4359     0.0000     4.0645    35.5097   108.8740     1.1067     243668.672    0.00000   56.20356
     0.10826   1116.77014      0.00000    13.4314     0.4358     0.0000     4.0645    35.5097   108.8532     1.1067     249253.156    0.00000   56.19259
     0.10965   1116.48804      0.00000    13.4299     0.4358     0.0000     4.0645    35.5097   108.8323     1.1067     254836.234    0.00000   56.18164
     0.11104   1116.20630      0.00000    13.4283     0.4357     0.0000     4.0645    35.5097   108.8115     1.1067     260417.891    0.00000   56.17070
     0.11243   1115.92407      0.00000    13.4268     0.4356     0.0000     4.0645    35.5097   108.7906     1.1067     265998.156    0.00000   56.15972
     0.11382   1115.64233      0.00000    13.4252     0.4356     0.0000     4.0645    35.5097   108.7698     1.1067     271577.000    0.00000   56.14878
     0.11521   1115.36060      0.00000    13.4237     0.4355     0.0000     4.0645    35.5097   108.7489     1.1067     277154.438    0.00000   56.13782
     0.11660   1115.07874      0.00000    13.4222     0.4354     0.0000     4.0645    35.5097   108.7281     1.1067     282730.469    0.00000   56.12687
     0.11799   1114.79712      0.00000    13.4206     0.4354     0.0000     4.0645    35.5097   108.7073     1.1067     288305.094    0.00000   56.11594
     0.11937   1114.51526      0.00000    13.4191     0.4353     0.0000     4.0645    35.5097   108.6864     1.1067     293878.312    0.00000   56.10497
     0.12076   1114.23364      0.00000    13.4175     0.4352     0.0000     4.0645    35.5097   108.6656     1.1067     299450.125    0.00000   56.09402
     0.12215   1117.02820      0.00000    13.4160     0.4359    -0.0156     4.1035    35.5820   108.9383     1.1065     305022.031    0.00000   56.12206
     0.12354   1148.48120      0.00000    13.4144     0.4432    -0.0929     4.2972    35.9649   111.8222     1.1048     310693.562    0.00000   56.62232
     0.12493   1180.23730      0.00000    13.4128     0.4505    -0.1700     4.4904    36.3468   114.7233     1.1031     316523.188    0.00000   57.12842
     0.12632   1212.30005      0.00000    13.4111     0.4578    -0.2469     4.6831    36.7279   117.6418     1.1014     322512.406    0.00000   57.64018
     0.12771   1244.67310      0.00000    13.4094     0.4651    -0.3235     4.8753    37.1081   120.5780     1.0997     328662.812    0.00000   58.15742
     0.12910   1277.36023      0.00000    13.4077     0.4724    -0.4000     5.0670    37.4877   123.5321     1.0981     334975.938    0.00000   58.67994
