%eval_id interface cw             ch             ph             se             Qp             Tp             Bw             Bd             Tc             Bwbc           Bwac           Bdbc           Bdac           
49       bat        2.18           1.4            0.2            2.694          1.19           360            3.868          1.399          360            1.097          1.478          0.768          0.768          
50       bat        1.78           1.2            0.2333333333   2.694          1.18           360            4.008          1.2            360            0.869          1.295          0.677          0.677          
51       bat        1.846666667    1.2            0.2333333333   2.694          1.17           360            4.002          1.2            360            0.856          1.289          0.671          0.671          
52       bat        1.913333333    1.2            0.2333333333   2.694          1.17           360            3.996          1.2            360            0.85           1.28           0.668          0.668          
53       bat        1.98           1.2            0.2333333333   2.694          1.16           360            3.996          1.2            360            0.844          1.271          0.664          0.664          
54       bat        2.046666667    1.2            0.2333333333   2.694          1.16           360            3.99           1.2            360            0.838          1.265          0.661          0.661          
55       bat        2.113333333    1.2            0.2333333333   2.694          1.15           360            3.984          1.2            360            0.829          1.256          0.658          0.658          
56       bat        2.18           1.2            0.2333333333   2.694          1.14           360            3.981          1.2            360            0.82           1.247          0.652          0.652          
57       bat        1.78           1.233333333    0.2333333333   2.694          1.16           360            3.996          1.233          360            0.844          1.271          0.664          0.664          
58       bat        1.846666667    1.233333333    0.2333333333   2.694          1.16           360            3.99           1.233          360            0.838          1.265          0.661          0.661          
59       bat        1.913333333    1.233333333    0.2333333333   2.694          1.15           360            3.984          1.233          360            0.829          1.256          0.658          0.658          
60       bat        1.98           1.233333333    0.2333333333   2.694          1.14           360            3.981          1.233          360            0.82           1.247          0.652          0.652          
61       bat        2.046666667    1.233333333    0.2333333333   2.694          1.14           360            3.978          1.233          360            0.814          1.241          0.649          0.649          
62       bat        2.113333333    1.233333333    0.2333333333   2.694          1.13           360            3.972          1.233          360            0.808          1.231          0.646          0.86           
63       bat        2.18           1.233333333    0.2333333333   2.694          1.13           360            3.968          1.233          360            0.802          1.222          0.643          0.856          
64       bat        1.78           1.266666667    0.2333333333   2.694          1.14           360            3.981          1.267          360            0.82           1.247          0.652          0.652          
65       bat        1.846666667    1.266666667    0.2333333333   2.694          1.14           360            3.978          1.267          360            0.814          1.241          0.649          0.649          
66       bat        1.913333333    1.266666667    0.2333333333   2.694          1.13           360            3.972          1.267          360            0.808          1.231          0.646          0.86           
67       bat        1.98           1.266666667    0.2333333333   2.694          1.13           360            3.968          1.267          360            0.802          1.222          0.643          0.856          
68       bat        2.046666667    1.266666667    0.2333333333   2.694          1.12           360            3.965          1.267          360            0.792          1.216          0.64           0.85           
69       bat        2.113333333    1.266666667    0.2333333333   2.694          1.12           360            3.959          1.267          360            0.786          1.21           0.637          0.847          
70       bat        2.18           1.266666667    0.2333333333   2.694          1.11           360            3.959          1.267          360            0.777          1.204          0.634          0.844          
71       bat        1.78           1.3            0.2333333333   2.694          1.13           360            3.968          1.3            360            0.802          1.222          0.643          0.856          
72       bat        1.846666667    1.3            0.2333333333   2.694          1.12           360            3.965          1.3            360            0.792          1.216          0.64           0.85           
73       bat        1.913333333    1.3            0.2333333333   2.694          1.12           360            3.959          1.3            360            0.786          1.21           0.637          0.847          
74       bat        1.98           1.3            0.2333333333   2.694          1.11           360            3.959          1.3            360            0.777          1.204          0.634          0.844          
75       bat        2.046666667    1.3            0.2333333333   2.694          1.11           360            3.953          1.3            360            0.771          1.198          0.628          0.841          
76       bat        2.113333333    1.3            0.2333333333   2.694          1.11           360            3.953          1.3            360            0.765          1.192          0.625          0.838          
77       bat        2.18           1.3            0.2333333333   2.694          1.1            360            3.947          1.3            360            0.759          1.186          0.622          0.838          
78       bat        1.78           1.333333333    0.2333333333   2.694          1.11           360            3.959          1.332          360            0.777          1.204          0.634          0.844          
79       bat        1.846666667    1.333333333    0.2333333333   2.694          1.11           360            3.953          1.332          360            0.771          1.198          0.628          0.841          
80       bat        1.913333333    1.333333333    0.2333333333   2.694          1.11           360            3.953          1.332          360            0.765          1.192          0.625          0.838          
81       bat        1.98           1.333333333    0.2333333333   2.694          1.1            360            3.947          1.332          360            0.759          1.186          0.622          0.838          
82       bat        2.046666667    1.333333333    0.2333333333   2.694          1.11           360            3.965          1.332          360            0.753          1.186          0.619          0.838          
83       bat        2.113333333    1.333333333    0.2333333333   2.694          1.1            360            3.965          1.332          360            0.747          1.183          0.616          0.835          
84       bat        2.18           1.333333333    0.2333333333   2.694          1.19           360            3.886          1.332          360            1.076          1.466          0.792          0.792          
85       bat        1.78           1.366666667    0.2333333333   2.694          1.1            360            3.947          1.366          360            0.759          1.186          0.622          0.838          
86       bat        1.846666667    1.366666667    0.2333333333   2.694          1.11           360            3.965          1.366          360            0.753          1.186          0.619          0.838          
87       bat        1.913333333    1.366666667    0.2333333333   2.694          1.1            360            3.965          1.366          360            0.747          1.183          0.616          0.835          
88       bat        1.98           1.366666667    0.2333333333   2.694          1.19           360            3.886          1.366          360            1.076          1.466          0.792          0.792          
89       bat        2.046666667    1.366666667    0.2333333333   2.694          1.19           360            3.886          1.366          360            1.07           1.46           0.789          0.789          
90       bat        2.113333333    1.366666667    0.2333333333   2.694          1.19           360            3.892          1.366          360            1.07           1.46           0.789          0.789          
91       bat        2.18           1.366666667    0.2333333333   2.694          1.19           360            3.892          1.366          360            1.07           1.46           0.786          0.786          
92       bat        1.78           1.4            0.2333333333   2.694          1.19           360            3.886          1.399          360            1.076          1.466          0.792          0.792          
93       bat        1.846666667    1.4            0.2333333333   2.694          1.19           360            3.886          1.399          360            1.07           1.46           0.789          0.789          
94       bat        1.913333333    1.4            0.2333333333   2.694          1.19           360            3.892          1.399          360            1.07           1.46           0.789          0.789          
95       bat        1.98           1.4            0.2333333333   2.694          1.19           360            3.892          1.399          360            1.07           1.46           0.786          0.786          
96       bat        2.046666667    1.4            0.2333333333   2.694          1.19           360            3.889          1.399          360            1.064          1.454          0.786          0.786          
97       bat        2.113333333    1.4            0.2333333333   2.694          1.18           360            3.886          1.399          360            1.061          1.451          0.783          0.783          
98       bat        2.18           1.4            0.2333333333   2.694          1.18           360            3.886          1.399          360            1.058          1.448          0.78           0.78           
99       bat        1.78           1.2            0.2666666667   2.694          1.17           360            4.045          1.2            360            0.82           1.265          0.686          0.686          
100      bat        1.846666667    1.2            0.2666666667   2.694          1.16           360            4.045          1.2            360            0.814          1.256          0.683          0.683          
101      bat        1.913333333    1.2            0.2666666667   2.694          1.16           360            4.039          1.2            360            0.808          1.247          0.68           0.68           
102      bat        1.98           1.2            0.2666666667   2.694          1.15           360            4.033          1.2            360            0.802          1.241          0.677          0.677          
103      bat        2.046666667    1.2            0.2666666667   2.694          1.14           360            4.026          1.2            360            0.792          1.231          0.674          0.674          
104      bat        2.113333333    1.2            0.2666666667   2.694          1.14           360            4.023          1.2            360            0.783          1.222          0.668          0.668          
105      bat        2.18           1.2            0.2666666667   2.694          1.13           360            4.02           1.2            360            0.777          1.216          0.664          0.664          
106      bat        1.78           1.233333333    0.2666666667   2.694          1.15           360            4.033          1.233          360            0.802          1.241          0.677          0.677          
107      bat        1.846666667    1.233333333    0.2666666667   2.694          1.14           360            4.026          1.233          360            0.792          1.231          0.674          0.674          
108      bat        1.913333333    1.233333333    0.2666666667   2.694          1.14           360            4.023          1.233          360            0.783          1.222          0.668          0.668          
109      bat        1.98           1.233333333    0.2666666667   2.694          1.13           360            4.02           1.233          360            0.777          1.216          0.664          0.664          
110      bat        2.046666667    1.233333333    0.2666666667   2.694          1.13           360            4.014          1.233          360            0.771          1.21           0.661          0.661          
111      bat        2.113333333    1.233333333    0.2666666667   2.694          1.12           360            4.008          1.233          360            0.765          1.198          0.658          0.658          
112      bat        2.18           1.233333333    0.2666666667   2.694          1.11           360            4.002          1.233          360            0.759          1.192          0.655          0.655          
