 
    Time(hr),     Qbreach,    Qspill,    zs_upstr, zs_downstr, zb_breach, B_bottom,    B_top,  Areabreach, Brchsideslope, Vol_watout, USSedRate, DSSedRate 
     0.06799      3.51027      0.00000     0.6410     0.2903     0.0000     4.0034     4.1553     1.8730    17.1098        436.736    0.00000    0.08608
     0.06938      3.45475      0.00000     0.6257     0.2876     0.0000     4.0857     4.2376     1.8742    17.1098        454.137    0.00000    0.08336
     0.07076      3.39540      0.00000     0.6107     0.2846     0.0000     4.1654     4.3173     1.8728    17.1098        471.249    0.00000    0.08075
     0.07215      3.33315      0.00000     0.5960     0.2814     0.0000     4.2426     4.3945     1.8691    17.1098        488.055    0.00000    0.07825
     0.07354      3.26853      0.00000     0.5815     0.2782     0.0000     4.3174     4.4694     1.8633    17.1098        504.544    0.00000    0.07585
     0.07493      3.20202      0.00000     0.5673     0.2747     0.0000     4.3900     4.5419     1.8556    17.1098        520.705    0.00000    0.07355
     0.07632      3.13406      0.00000     0.5534     0.2712     0.0000     4.4603     4.6123     1.8461    17.1098        536.528    0.00000    0.07134
     0.07771      3.06504      0.00000     0.5398     0.2676     0.0000     4.5286     4.6805     1.8351    17.1098        552.009    0.00000    0.06922
     0.07910      2.99532      0.00000     0.5265     0.2640     0.0000     4.5948     4.7468     1.8226    17.1098        567.143    0.00000    0.06719
     0.08049      2.92520      0.00000     0.5135     0.2602     0.0000     4.6592     4.8111     1.8088    17.1098        581.927    0.00000    0.06524
     0.08187      2.85497      0.00000     0.5009     0.2565     0.0000     4.7216     4.8736     1.7939    17.1098        596.360    0.00000    0.06336
     0.08326      2.78416      0.00000     0.4884     0.2526     0.0000     4.7823     4.9342     1.7777    17.1098        610.441    0.00000    0.06155
     0.08465      2.70878      0.00000     0.4757     0.2485     0.0000     4.8412     4.9932     1.7585    17.1098        624.154    0.00000    0.05974
     0.08604      2.63428      0.00000     0.4633     0.2444     0.0000     4.8984     5.0503     1.7386    17.1098        637.493    0.00000    0.05800
     0.08743      2.56082      0.00000     0.4513     0.2403     0.0000     4.9539     5.1059     1.7181    17.1098        650.462    0.00000    0.05634
     0.08882      2.48854      0.00000     0.4396     0.2362     0.0000     5.0079     5.1598     1.6970    17.1098        663.067    0.00000    0.05474
     0.09021      2.41754      0.00000     0.4283     0.2321     0.0000     5.0603     5.2122     1.6755    17.1098        675.314    0.00000    0.05320
     0.09160      2.34793      0.00000     0.4172     0.2281     0.0000     5.1112     5.2632     1.6536    17.1098        687.209    0.00000    0.05172
     0.09299      2.27978      0.00000     0.4065     0.2241     0.0000     5.1608     5.3128     1.6315    17.1098        698.761    0.00000    0.05031
     0.09437      2.21315      0.00000     0.3961     0.2201     0.0000     5.2090     5.3610     1.6091    17.1098        709.976    0.00000    0.04894
     0.09576      2.14808      0.00000     0.3860     0.2162     0.0000     5.2559     5.4079     1.5866    17.1098        720.862    0.00000    0.04763
     0.09715      2.08461      0.00000     0.3762     0.2124     0.0000     5.3016     5.4535     1.5640    17.1098        731.427    0.00000    0.04637
     0.09854      2.02276      0.00000     0.3667     0.2086     0.0000     5.3460     5.4980     1.5413    17.1098        741.680    0.00000    0.04516
     0.09993      1.96255      0.00000     0.3575     0.2048     0.0000     5.3893     5.5413     1.5186    17.1098        751.627    0.00000    0.04399
     0.10132      1.90397      0.00000     0.3485     0.2011     0.0000     5.4315     5.5835     1.4960    17.1098        761.279    0.00000    0.04286
     0.10271      1.84663      0.00000     0.3398     0.1975     0.0000     5.4726     5.6246     1.4733    17.1098        770.641    0.00000    0.04177
     0.10410      1.78029      0.00000     0.3300     0.1932     0.0000     5.5126     5.6646     1.4451    17.1098        779.691    0.00000    0.04058
     0.10549      1.71628      0.00000     0.3206     0.1890     0.0000     5.5515     5.7034     1.4172    17.1098        788.415    0.00000    0.03943
     0.10688      1.65472      0.00000     0.3115     0.1849     0.0000     5.5892     5.7412     1.3898    17.1098        796.827    0.00000    0.03833
     0.10826      1.59553      0.00000     0.3027     0.1809     0.0000     5.6260     5.7779     1.3628    17.1098        804.936    0.00000    0.03727
     0.10965      1.53865      0.00000     0.2942     0.1770     0.0000     5.6617     5.8136     1.3363    17.1098        812.757    0.00000    0.03626
